nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
East Of England,01/08/2021,1,10596,0,793,1,11389,FALSE
East Of England,02/08/2021,6,10602,0,793,6,11395,FALSE
East Of England,03/08/2021,5,10607,0,793,5,11400,FALSE
East Of England,04/08/2021,3,10610,1,794,4,11404,FALSE
East Of England,05/08/2021,1,10611,0,794,1,11405,FALSE
East Of England,06/08/2021,6,10617,0,794,6,11411,FALSE
East Of England,07/08/2021,5,10622,0,794,5,11416,FALSE
East Of England,08/08/2021,7,10629,0,794,7,11423,FALSE
East Of England,09/08/2021,4,10633,3,797,7,11430,FALSE
East Of England,10/08/2021,5,10638,0,797,5,11435,FALSE
East Of England,11/08/2021,3,10641,0,797,3,11438,FALSE
East Of England,12/08/2021,6,10647,0,797,6,11444,FALSE
East Of England,13/08/2021,3,10650,0,797,3,11447,FALSE
East Of England,14/08/2021,7,10657,0,797,7,11454,FALSE
East Of England,15/08/2021,9,10666,0,797,9,11463,FALSE
East Of England,16/08/2021,7,10673,1,798,8,11471,FALSE
East Of England,17/08/2021,6,10679,1,799,7,11478,FALSE
East Of England,18/08/2021,7,10686,1,800,8,11486,FALSE
East Of England,19/08/2021,5,10691,1,801,6,11492,FALSE
East Of England,20/08/2021,7,10698,1,802,8,11500,FALSE
East Of England,21/08/2021,10,10708,0,802,10,11510,FALSE
East Of England,22/08/2021,6,10714,2,804,8,11518,FALSE
East Of England,23/08/2021,8,10722,0,804,8,11526,FALSE
East Of England,24/08/2021,7,10729,0,804,7,11533,FALSE
East Of England,25/08/2021,9,10738,1,805,10,11543,FALSE
East Of England,26/08/2021,15,10753,0,805,15,11558,FALSE
East Of England,27/08/2021,11,10764,0,805,11,11569,FALSE
East Of England,28/08/2021,4,10768,0,805,4,11573,FALSE
East Of England,29/08/2021,10,10778,1,806,11,11584,FALSE
East Of England,30/08/2021,5,10783,0,806,5,11589,FALSE
East Of England,31/08/2021,4,10787,1,807,5,11594,FALSE
East Of England,01/09/2021,5,10792,0,807,5,11599,FALSE
East Of England,02/09/2021,9,10801,1,808,10,11609,FALSE
East Of England,03/09/2021,14,10815,2,810,16,11625,FALSE
East Of England,04/09/2021,12,10827,0,810,12,11637,FALSE
East Of England,05/09/2021,12,10839,0,810,12,11649,FALSE
East Of England,06/09/2021,9,10848,1,811,10,11659,FALSE
East Of England,07/09/2021,11,10859,0,811,11,11670,FALSE
East Of England,08/09/2021,5,10864,1,812,6,11676,FALSE
East Of England,09/09/2021,4,10868,0,812,4,11680,FALSE
East Of England,10/09/2021,7,10875,0,812,7,11687,FALSE
East Of England,11/09/2021,11,10886,1,813,12,11699,FALSE
East Of England,12/09/2021,12,10898,0,813,12,11711,FALSE
East Of England,13/09/2021,6,10904,0,813,6,11717,FALSE
East Of England,14/09/2021,14,10918,2,815,16,11733,FALSE
East Of England,15/09/2021,8,10926,0,815,8,11741,FALSE
East Of England,16/09/2021,11,10937,2,817,13,11754,FALSE
East Of England,17/09/2021,15,10952,0,817,15,11769,FALSE
East Of England,18/09/2021,11,10963,1,818,12,11781,FALSE
East Of England,19/09/2021,12,10975,2,820,14,11795,FALSE
East Of England,20/09/2021,10,10985,1,821,11,11806,FALSE
East Of England,21/09/2021,8,10993,0,821,8,11814,FALSE
East Of England,22/09/2021,10,11003,0,821,10,11824,FALSE
East Of England,23/09/2021,10,11013,0,821,10,11834,FALSE
East Of England,24/09/2021,7,11020,1,822,8,11842,FALSE
East Of England,25/09/2021,2,11022,2,824,4,11846,FALSE
East Of England,26/09/2021,6,11028,1,825,7,11853,FALSE
East Of England,27/09/2021,1,11029,1,826,2,11855,FALSE
East Of England,28/09/2021,7,11036,2,828,9,11864,FALSE
East Of England,29/09/2021,3,11039,3,831,6,11870,FALSE
East Of England,30/09/2021,4,11043,0,831,4,11874,FALSE
East Of England,01/10/2021,6,11049,2,833,8,11882,FALSE
East Of England,02/10/2021,4,11053,0,833,4,11886,FALSE
East Of England,03/10/2021,5,11058,0,833,5,11891,FALSE
East Of England,04/10/2021,3,11061,0,833,3,11894,FALSE
East Of England,05/10/2021,6,11067,0,833,6,11900,FALSE
East Of England,06/10/2021,7,11074,0,833,7,11907,FALSE
East Of England,07/10/2021,6,11080,0,833,6,11913,FALSE
East Of England,08/10/2021,8,11088,0,833,8,11921,FALSE
East Of England,09/10/2021,5,11093,0,833,5,11926,FALSE
East Of England,10/10/2021,4,11097,1,834,5,11931,FALSE
East Of England,11/10/2021,4,11101,1,835,5,11936,FALSE
East Of England,12/10/2021,5,11106,0,835,5,11941,FALSE
East Of England,13/10/2021,5,11111,0,835,5,11946,FALSE
East Of England,14/10/2021,6,11117,0,835,6,11952,FALSE
East Of England,15/10/2021,8,11125,1,836,9,11961,FALSE
East Of England,16/10/2021,9,11134,0,836,9,11970,FALSE
East Of England,17/10/2021,5,11139,0,836,5,11975,FALSE
East Of England,18/10/2021,6,11145,0,836,6,11981,FALSE
